"Callsign","Frequency","City","State","Licensee","Format"
"WSKI","1240 AM","Montpelier","Vermont","NRG License Sub, LLC","Pop or Contemporary"
"WNCS","104.7 FM","Montpelier","Vermont","Capstar TX LLC","Country"
"WLVB","93.9 FM","Morrisville","Vermont","CC Licenses, LLC","News and Talk"
"WIKE","1490 AM","Newport","Vermont","La Cadena Mundial Hispana, Inc.","Other"
"WJSY-LP","96.1 FM","Newport","Vermont","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WNUB-FM","88.3 FM","Northfield","Vermont","Sunny Broadcasting, LLC","Other"
"WGDR","91.1 FM","Plainfield","Vermont","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WVNR","1340 AM","Poultney","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WDKM","92.5 FM","Poultney","Vermont","D.A. Peterson, Inc.","Pop or Contemporary"
"WCMK","91.9 FM","Putney","Vermont","AVC Communications, Inc.","Pop or Contemporary"
"WCVR","1320 AM","Randolph","Vermont","Christian Voice of Central Ohio","Religious"
"WVXR","102.1 FM","Randolph","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVTC","90.7 FM","Randolph Center","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRJT","103.1 FM","Royalton","Vermont","Heartland Communications License, LLC","Oldies"
"WMNV","104.1 FM","Rupert","Vermont","North American Broadcasting","Other"
"WSYB","1380 AM","Rutland","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WDVT","94.5 FM","Rutland","Vermont","Denison University","Other"
"WFTF","90.9 FM","Rutland","Vermont","BAS Broadcasting","Other"
"WJJR","98.1 FM","Rutland","Vermont","American Family Association","Religious"
"WMTZ-LP","95.7 FM","Rutland","Vermont","NOBCO, Inc.","Other"
"WRVT","88.7 FM","Rutland","Vermont","WRVM, Inc.","Religious"
"WZRT","97.1 FM","Rutland","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXXX","95.5 FM","South Burlington","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WFVR-LP","96.5 FM","South Royalton","Vermont","Media One Holdings, LLC","Other"
"WRSA","1420 AM","St. Albans","Vermont","Good Karma Broadcasting L.L.C.","News and Talk"
"WSTJ","1340 AM","St. Johnsbury","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCKJ","90.5 FM","St. Johnsbury","Vermont","Jackson County Broadcasting, Inc.","Country"
"WKXH","105.5 FM","St. Johnsbury","Vermont","Blanchard River Broadcasting Company","Country"
"WVPA","88.5 FM","St. Johnsbury","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCVT","101.7 FM","Stowe","Vermont","Christian Voice of Central Ohio","Religious"
"WVTQ","95.1 FM","Sunderland","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WGLG","89.9 FM","Swanton","Vermont","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WIZN","106.7 FM","Vergennes","Vermont","Citicasters Licenses, Inc.","Country"
"WDEV-FM","96.1 FM","Warren","Vermont","Riverside Local Board of Education","Oldies"
"WMRW-LP","94.5 FM","Warren","Vermont","Marietta College","Other"
"WDEV","550 AM","Waterbury","Vermont","Riverside Local Board of Education","Oldies"
"WWMP","103.3 FM","Waterbury","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTWN","1100 AM","Wells River","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKKN","101.9 FM","Westminster","Vermont","CC Licenses, LLC","Country"
"WTHK","100.7 FM","Wilmington","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVPR","89.5 FM","Windsor","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WGLV","91.7 FM","Woodstock","Vermont","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WWOD","93.9 FM","Woodstock","Vermont","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WGOD-FM","97.9 FM","Charlotte Amalie","Virgin Islands","L&D Broadcasters, Inc.","Religious"
"WIUJ","102.9 FM","Charlotte Amalie","Virgin Islands","Aloha Station Trust, LLC","News and Talk"
"WIVI","96.1 FM","Charlotte Amalie","Virgin Islands","Aloha Station Trust, LLC","News and Talk"
"WIVH","90.1 FM","Christiansted","Virgin Islands","Aloha Station Trust, LLC","News and Talk"
"WJKC","95.1 FM","Christiansted","Virgin Islands","American Family Association","Religious"
"WMNG","104.9 FM","Christiansted","Virgin Islands","Citicasters Licenses, Inc.","Pop or Contemporary"
"WAXJ","103.5 FM","Frederiksted","Virgin Islands","Winnipesaukee Radio Station, LLC","Other"
"WEVI","101.7 FM","Frederiksted","Virgin Islands","First Family Broadcasting","Other"
"WMYP","98.3 FM","Frederiksted","Virgin Islands","Citicasters Licenses, Inc.","Pop or Contemporary"
"WABN","1230 AM","Abingdon","Virginia","LAZER BROADCASTING LLC","International"
"WVES","99.3 FM","Accomac","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WWDW","107.7 FM","Alberta","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTNT","730 AM","Alexandria","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKDE","1000 AM","Altavista","Virginia","Citicasters Licenses, Inc.","Pop or Contemporary"
"WKDE-FM","105.5 FM","Altavista","Virginia","Citicasters Licenses, Inc.","Pop or Contemporary"
"WAMV","1420 AM","Amherst","Virginia","LAZER BROADCASTING LLC","International"
"WYYD","107.9 FM","Amherst","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJJX","102.7 FM","Appomattox","Virginia","American Family Association","Religious"
"WTTX-FM","107.1 FM","Appomattox","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAVA","780 AM","Arlington","Virginia","Winnipesaukee Radio Station, LLC","Other"
"WZHF","1390 AM","Arlington","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAVA-FM","105.1 FM","Arlington","Virginia","Winnipesaukee Radio Station, LLC","Other"
"WERA-LP","96.7 FM","Arlington","Virginia","Elyria-Lorain Broadcasting Co.","News and Talk"
"WHAN","1430 AM","Ashland","Virginia","Cincinnati Public Radio","News and Talk"
"WYFJ","100.1 FM","Ashland","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCBX","900 AM","Bassett","Virginia","Garrison City Radio Group, LLC","Pop or Contemporary"
"WBLT","1350 AM","Bedford","Virginia","Winnipesaukee Radio Station, LLC","Other"
"WZZI","106.9 FM","Bedford","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHRF","98.3 FM","Belle Haven","Virginia","Cumulus Licensing LLC","Pop or Contemporary"
"WXBN","105.5 FM","Berryville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHTU","103.9 FM","Big Island","Virginia","Runnymede, Inc.","News and Talk"
"WLSD","1220 AM","Big Stone Gap","Virginia","ArcAngel Broadcasting Foundation","Religious"
"WAXM","93.5 FM","Big Stone Gap","Virginia","Winnipesaukee Radio Station, LLC","Other"
"WFNR","710 AM","Blacksburg","Virginia","Blanchard River Broadcasting Company","News and Talk"
"WKEX","1430 AM","Blacksburg","Virginia","Kettering City School District","Rock, Alternative, or Indie"
"WBRW","105.3 FM","Blacksburg","Virginia","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WUVT-FM","90.7 FM","Blacksburg","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKLV","1440 AM","Blackstone","Virginia","Vernon R. Baldwin, Inc.","Religious"
"WBBC-FM","93.5 FM","Blackstone","Virginia","Winnipesaukee Radio Station, LLC","Other"
"WHKX","106.3 FM","Bluefield","Virginia","Caron Broadcasting, Inc.","Religious"
"WLES","590 AM","Bon Air","Virginia","BAS Broadcasting","Other"
"WWUZ","96.9 FM","Bowling Green","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WPRZ-FM","88.1 FM","Brandy Station","Virginia","Robinson Corporation","Other"
"WWRE","105.1 FM","Bridgewater","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WOPI","1490 AM","Bristol","Virginia","Seehafer Broadcasting Corp","Other"
"WZAP","690 AM","Bristol","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBCM-LP","100.1 FM","Bristol","Virginia","Winnipesaukee Radio Station, LLC","Other"
"WKJV-LP","106.5 FM","Bristol","Virginia","Lighthouse Ministries of Northwest Ohio","Religious"
"WXBQ-FM","96.9 FM","Bristol","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMQR","96.1 FM","Broadway","Virginia","Positive Radio Group, Inc. of Ohio","Other"
"WBTX","1470 AM","Broadway–Timberville","Virginia","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WODI","1230 AM","Brookneal","Virginia","CC Licenses, LLC","Other"
"WWXX","94.3 FM","Buckland","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WWZW","96.7 FM","Buena Vista","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBOP","95.5 FM","Buffalo Gap","Virginia","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WZLV","90.7 FM","Cape Charles","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WYRV","770 AM","Cedar Bluff","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WLRJ","89.7 FM","Charles City","Virginia","Christian Faith Broadcast, Inc.","Religious"
"WCHV","1260 AM","Charlottesville","Virginia","Citicasters Licenses, Inc.","Country"
"WINA","1070 AM","Charlottesville","Virginia","Urban Radio Licenses, LLC","Hip-hop"
"WKAV","1400 AM","Charlottesville","Virginia","Urban Radio Licenses, LLC","Pop or Contemporary"
"WVAX","1450 AM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCHV-FM","107.5 FM","Charlottesville","Virginia","Citicasters Licenses, Inc.","Country"
"WNRN","91.9 FM","Charlottesville","Virginia","Kent State University","News and Talk"
"WREN-LP","97.9 FM","Charlottesville","Virginia","Durand Broadcasting","Country"
"WTJU","91.1 FM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WUVA","92.7 FM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVAI-LP","101.3 FM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVTU","89.3 FM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVTW","88.5 FM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WWWV","97.5 FM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXRK-LP","92.3 FM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXTJ-LP","100.1 FM","Charlottesville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJYK","980 AM","Chase City","Virginia","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WMVE","90.1 FM","Chase City","Virginia","The President & Trustees of Miami University","News and Talk"
"WKBY","1080 AM","Chatham","Virginia","Citicasters Licenses, Inc.","News and Talk"
"WWIP","89.1 FM","Cheriton","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCPK","1600 AM","Chesapeake","Virginia","Citicasters Licenses, Inc.","Country"
"WFOS","88.7 FM","Chesapeake","Virginia","TCB Holdings, Inc.","Other"
"WNOB","93.7 FM","Chesapeake","Virginia","Franklin Communications, Inc.","Other"
"WNTW","820 AM","Chester","Virginia","Sunny Broadcasting, LLC","Other"
"WCTG","96.5 FM","Chincoteague","Virginia","Central State University","Other"
"WOWZ","101.5 FM","Chincoteague","Virginia","Results Broadcasting Inc.","Other"
"WWVT","1260 AM","Christiansburg","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WNMX","100.7 FM","Christiansburg","Virginia","Vernon R. Baldwin, Inc.","Religious"
"WRJR","670 AM","Claremont","Virginia","Heartland Communications License, LLC","Oldies"
"WLUS-FM","98.3 FM","Clarksville","Virginia","CC Licenses, LLC","News and Talk"
"WXCF","1230 AM","Clifton Forge","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVRI","90.9 FM","Clifton Forge","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WDIC","1430 AM","Clinchco","Virginia","Alpha Media Licensee LLC","Pop or Contemporary"
"WDIC-FM","92.1 FM","Clinchco","Virginia","Alpha Media Licensee LLC","Pop or Contemporary"
"WGCK-FM","99.7 FM","Coeburn","Virginia","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WFIC","1530 AM","Collinsville","Virginia","Salem Media Group, LLC","Religious"
"WWER","88.1 FM","Colonial Beach","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKHK","95.3 FM","Colonial Heights","Virginia","Citicasters Licenses, Inc.","Pop or Contemporary"
"WKYV","90.1 FM","Colonial Heights","Virginia","Blanchard River Broadcasting Company","Country"
"WKEY","1340 AM","Covington","Virginia","Kettering City School District","Rock, Alternative, or Indie"
"WIQO-FM","100.9 FM","Covington","Virginia","Citicasters Licenses, Inc.","Rock, Alternative, or Indie"
"WSVS","800 AM","Crewe","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WPZZ","104.7 FM","Crewe","Virginia","WRVM, Inc.","Religious"
"WMRY","103.5 FM","Crozet","Virginia","Marietta College","Other"
"WZGN","102.3 FM","Crozet","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCVA","1490 AM","Culpeper","Virginia","Family Radio","Religious"
"WARN","91.3 FM","Culpeper","Virginia","New Hampshire Gospel Radio, Inc.","Religious"
"WJMA","103.1 FM","Culpeper","Virginia","Christian Faith Broadcast, Inc.","Religious"
"WPER","89.9 FM","Culpeper","Virginia","Magnum Communications, Inc.","Oldies"
"WJEV-LP","97.7 FM","Dale City","Virginia","WJER Radio, LLC.","Other"
"WBTM","1330 AM","Danville","Virginia","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WDVA","1250 AM","Danville","Virginia","Denison University","Other"
"WMPW","970 AM","Danville","Virginia","Positive Radio Group, Inc. of Ohio","Other"
"WWDN","1580 AM","Danville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAKG","103.3 FM","Danville","Virginia","LAZER BROADCASTING LLC","International"
"WOKD-FM","91.1 FM","Danville","Virginia","Lac Courte Orielles Ojibwa Public","Other"
"WTYD","92.3 FM","Deltaville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WEQF-FM","105.3 FM","Dillwyn","Virginia","Elyria-Lorain Broadcasting Co.","News and Talk"
"WGFW","88.7 FM","Drakes Branch","Virginia","Y-Town Radio Broadcasting, LLC","Hip-hop"
"WPIN","810 AM","Dublin","Virginia","Menomonie Christian Radio, Inc.","Religious"
"WPIN-FM","91.5 FM","Dublin","Virginia","Menomonie Christian Radio, Inc.","Religious"
"WPWC","1480 AM","Dumfries–Triangle","Virginia","WRVM, Inc.","Religious"
"WKTR","840 AM","Earlysville","Virginia","Radio General, Ltd.","Pop or Contemporary"
"WHRE","91.9 FM","Eastville","Virginia","Cumulus Licensing LLC","Pop or Contemporary"
"WOTC","88.3 FM","Edinburg","Virginia","Seehafer Broadcasting Corp","Other"
"WACL","98.5 FM","Elkton","Virginia","LAZER BROADCASTING LLC","International"
"WVBB","97.7 FM","Elliston-Lafayette","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WEHC","90.7 FM","Emory","Virginia","Childers Media Group LLC","Rock, Alternative, or Indie"
"WEVA","860 AM","Emporia","Virginia","First Family Broadcasting","Other"
"WHRL","88.1 FM","Emporia","Virginia","Cumulus Licensing LLC","Pop or Contemporary"
"WYTT","99.5 FM","Emporia","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WWLB","93.1 FM","Ettrick","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WROX-FM","96.1 FM","Exmore","Virginia","Capstar TX LLC","Pop or Contemporary"
"WKNV","890 AM","Fairlawn","Virginia","Good Karma Broadcasting, LLC.","Other"
"WFAX","1220 AM","Falls Church","Virginia","First Family Broadcasting","Other"
"WGRX","104.5 FM","Falmouth","Virginia","Radio License Holding SRC LLC","Other"
"WFLO","870 AM","Farmville","Virginia","Blanchard River Broadcasting Company","News and Talk"
"WPAK","1490 AM","Farmville","Virginia","WRIG, Inc.","Rock, Alternative, or Indie"
"WFLO-FM","95.7 FM","Farmville","Virginia","Blanchard River Broadcasting Company","News and Talk"
"WMLU","91.3 FM","Farmville","Virginia","Maple Knoll Communities, Inc.","Other"
"WVHL","92.9 FM","Farmville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXJK","101.3 FM","Farmville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WFFC","89.9 FM","Ferrum","Virginia","Lancaster Educational Broadcasting","Religious"
"WODY","1160 AM","Fieldale","Virginia","CC Licenses, LLC","Other"
"WGFC","1030 AM","Floyd","Virginia","Public Broadcasting Foundation of NW Ohio","News and Talk"
"WROF-LP","95.7 FM","Floyd","Virginia","Capstar TX LLC","Pop or Contemporary"
"WKLR","96.5 FM","Fort Lee","Virginia","Vernon R. Baldwin, Inc.","Religious"
"WLQM","1250 AM","Franklin","Virginia","WLOH Radio Company","News and Talk"
"WLQM-FM","101.7 FM","Franklin","Virginia","WLOH Radio Company","News and Talk"
"WFVA","1230 AM","Fredericksburg","Virginia","Media One Holdings, LLC","Other"
"WNTX","1350 AM","Fredericksburg","Virginia","Sunny Broadcasting, LLC","Other"
"WBQB","101.5 FM","Fredericksburg","Virginia","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WFLS-FM","93.3 FM","Fredericksburg","Virginia","Blanchard River Broadcasting Company","News and Talk"
"WJYJ","90.5 FM","Fredericksburg","Virginia","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WLMP-LP","102.7 FM","Fredericksburg","Virginia","Elyria-Lorain Broadcasting Co.","Rock, Alternative, or Indie"
"WFTR","1450 AM","Front Royal","Virginia","Radio License Holding SRC LLC","Rock, Alternative, or Indie"
"WFQX","99.3 FM","Front Royal","Virginia","Our Lady of Guadalupe Radio, Inc. d/b/a Annunciation Radio","Other"
"WXDM","90.3 FM","Front Royal","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZRV","95.3 FM","Front Royal","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBRF","98.1 FM","Galax","Virginia","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WOKG","90.3 FM","Galax","Virginia","Lac Courte Orielles Ojibwa Public","Other"
"WGAT","1050 AM","Gate City","Virginia","Citicasters Licenses, Inc.","Country"
"WFYE","100.5 FM","Glade Spring","Virginia","Capstar TX LLC","Rock, Alternative, or Indie"
"WTOX","1480 AM","Glen Allen","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXGM","1420 AM","Gloucester","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXGM-FM","99.1 FM","Gloucester","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHRG","88.5 FM","Gloucester Point","Virginia","Cumulus Licensing LLC","Pop or Contemporary"
"WLRB","100.5 FM","Goochland","Virginia","WLOH Radio Company","News and Talk"
"WVRS","90.1 FM","Gore","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMNA","730 AM","Gretna","Virginia","Citicasters Licenses, Inc.","Pop or Contemporary"
"WMNA-FM","106.3 FM","Gretna","Virginia","Citicasters Licenses, Inc.","Pop or Contemporary"
"WNRG","940 AM","Grundy","Virginia","Tuscarawas Broadcasting Co.","Religious"
"WXTG","1490 AM","Hampton","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHOV","88.1 FM","Hampton","Virginia","Cumulus Licensing LLC","Pop or Contemporary"
"WRPC-LP","103.7 FM","Hampton","Virginia","Capstar TX LLC","Pop or Contemporary"
"WWDE-FM","101.3 FM","Hampton","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHBG","1360 AM","Harrisonburg","Virginia","Alpha Media Licensee LLC","Pop or Contemporary"
"WKCY","1300 AM","Harrisonburg","Virginia","Kenyon College","Other"
"WSVA","550 AM","Harrisonburg","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WEMC","91.7 FM","Harrisonburg","Virginia","Educational Media Foundation","Religious"
"WKCY-FM","104.3 FM","Harrisonburg","Virginia","Kenyon College","Other"
"WMRA","90.7 FM","Harrisonburg","Virginia","Positive Radio Group, Inc. of Ohio","Other"
"WQPO","100.7 FM","Harrisonburg","Virginia","Robinson Corporation","Country"
"WXJM","88.7 FM","Harrisonburg","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WCNV","89.1 FM","Heathsville","Virginia","Marietta College","Other"
"WCLM","1450 AM","Highland Springs","Virginia","Alpha Media Licensee LLC","Country"
"WHCE","91.1 FM","Highland Springs","Virginia","Alpha Media Licensee LLC","Pop or Contemporary"
"WHHV","1400 AM","Hillsville","Virginia","Heidelberg College","Other"
"WFOG-LP","95.9 FM","Hillsville","Virginia","TCB Holdings, Inc.","Other"
"WWSO-LP","99.7 FM","Hillsville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WXEZ-LP","101.1 FM","Hillsville","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHAP","1340 AM","Hopewell","Virginia","Cincinnati Public Radio","News and Talk"
"WCHG","107.1 FM","Hot Springs","Virginia","Citicasters Licenses, Inc.","Pop or Contemporary"
"WJNV","99.1 FM","Jonesville","Virginia","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WPEX","90.9 FM","Kenbridge","Virginia","Magnum Communications, Inc.","Oldies"
"WCNR","106.1 FM","Keswick","Virginia","Marietta College","Other"
"WKWI","101.7 FM","Kilmarnock","Virginia","WWST Corporation, L.L.C.","Other"
"WJSR","100.9 FM","Lakeside","Virginia","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WHLQ","105.5 FM","Lawrenceville","Virginia","CC Licenses, LLC","News and Talk"
"WXLZ-FM","107.3 FM","Lebanon","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WREL","1450 AM","Lexington","Virginia","Durand Broadcasting","Country"
"WLUR","91.5 FM","Lexington","Virginia","CC Licenses, LLC","News and Talk"
"WMRL","89.9 FM","Lexington","Virginia","Positive Radio Group, Inc. of Ohio","Other"
"WRIQ","88.7 FM","Lexington","Virginia","WRIG, Inc.","Other"
"WOJL","105.5 FM","Louisa","Virginia","Lac Courte Orielles Ojibwa Public","Other"
"WRAA","1330 AM","Luray","Virginia","Seehafer Broadcasting Corporation","Rock, Alternative, or Indie"
"WMXH-FM","105.7 FM","Luray","Virginia","Spryex Communications","Rock, Alternative, or Indie"
"WYFT","103.9 FM","Luray","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WBRG","1050 AM","Lynchburg","Virginia","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WKPA","1390 AM","Lynchburg","Virginia","Jackson County Broadcasting, Inc.","Pop or Contemporary"
"WLLL","930 AM","Lynchburg","Virginia","Elyria-Lorain Broadcasting Co.","Rock, Alternative, or Indie"
"WLVA","580 AM","Lynchburg","Virginia","CC Licenses, LLC","News and Talk"
"WVGM","1320 AM","Lynchburg","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKHF","93.7 FM","Lynchburg","Virginia","Citicasters Licenses, Inc.","Pop or Contemporary"
"WLNI","105.9 FM","Lynchburg","Virginia","Elyria-Lorain Broadcasting Co.","Rock, Alternative, or Indie"
"WQLU","90.9 FM","Lynchburg","Virginia","Cumulus Licensing LLC","Pop or Contemporary"
"WRVL","88.3 FM","Lynchburg","Virginia","Board of Regents, University of Wisconsin System","Rock, Alternative, or Indie"
"WVBE-FM","100.1 FM","Lynchburg","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZZU","97.9 FM","Lynchburg","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRMV-LP","94.5 FM","Madison Heights","Virginia","Nicolet Broadcasting, Inc.","Country"
"WKDV","1460 AM","Manassas","Virginia","Citicasters Licenses, Inc.","Pop or Contemporary"
"WJFK-FM","106.7 FM","Manassas","Virginia","WJER Radio, LLC.","Other"
"WWWT-FM","107.7 FM","Manassas","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WITM","1330 AM","Marion","Virginia","Aloha Station Trust, LLC","News and Talk"
"WUKZ","1010 AM","Marion","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMEV-FM","93.9 FM","Marion","Virginia","Muskingum College","Other"
"WOLD-FM","102.5 FM","Marion","Virginia","Clear Channel Broadcasting Licenses, Inc.","Other"
"WVTR","91.9 FM","Marion","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZVA","103.5 FM","Marion","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHEE","1370 AM","Martinsville","Virginia","Alpha Media Licensee LLC","Pop or Contemporary"
"WMVA","1450 AM","Martinsville","Virginia","The President & Trustees of Miami University","News and Talk"
"WPIM","90.5 FM","Martinsville","Virginia","Menomonie Christian Radio, Inc.","Religious"
"WROV-FM","96.3 FM","Martinsville","Virginia","Capstar TX LLC","Pop or Contemporary"
"WCDX","92.1 FM","Mechanicsville","Virginia","Priority Communications of Ohio, LLC.","Other"
"WLFV","98.9 FM","Midlothian","Virginia","University of Findlay","Rock, Alternative, or Indie"
"WSLK","880 AM","Moneta","Virginia","WPW Broadcasting, Inc.","Country"
"WVLS","89.7 FM","Monterey","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSVG","790 AM","Mount Jackson","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSIG","96.9 FM","Mount Jackson","Virginia","Sheboygan Area School District","Other"
"WZFM","101.3 FM","Narrows","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WNRV","990 AM","Narrows–Pearisburg","Virginia","Kent State University","News and Talk"
"WFAJ","96.9 FM","Nassawadox","Virginia","First Family Broadcasting","Other"
"WHRX","90.1 FM","Nassawadox","Virginia","Our Lady of Guadalupe Radio, Inc., dba Annunciation Radio","Religious"
"WLTK","103.3 FM","New Market","Virginia","ArcAngel Broadcasting Foundation","Religious"
"WGH","1310 AM","Newport News","Virginia","Christian Faith Broadcast, Inc.","Religious"
"WTJZ","1270 AM","Newport News","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WGH-FM","97.3 FM","Newport News","Virginia","Christian Faith Broadcast, Inc.","Religious"
"WJOI","1230 AM","Norfolk","Virginia","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WKQA","1110 AM","Norfolk","Virginia","Jackson County Broadcasting, Inc.","Pop or Contemporary"
"WNIS","790 AM","Norfolk","Virginia","Media-Com, Inc.","News and Talk"
"WTAR","850 AM","Norfolk","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVXX","1050 AM","Norfolk","Virginia","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WHRO-FM","90.3 FM","Norfolk","Virginia","Cumulus Licensing LLC","Pop or Contemporary"
"WHRV","89.5 FM","Norfolk","Virginia","Our Lady of Guadalupe Radio, Inc., dba Annunciation Radio","Religious"
"WMOV-FM","107.7 FM","Norfolk","Virginia","Vernon R. Baldwin, Inc.","News and Talk"
